User Input,Translated Text,Correct Translation
what was the original crime ,Uhalifu wa awali ulisababishwa na nini?,uhalifu wa kwanza ulikuwa?
"Kiume, sensing Njeru's loneliness, offered his friendship. At first, Njeru hesitated, remembering the tricks he had played on others. But as time went by, he found himself growing fonder of Kiume.","Kiume, ambaye alitambua upweke wa Njeru, alitoa rafiki yake, kwanza, Njeru alisitasita, huku akikumbuka mbinu aliyokuwa amecheza juu ya wengine.","Kiume ambaye alitambua upweke wa Njeru, alijitolea kuwa rafiki yake, kwanza, Njeru alisitasita, huku akikumbuka mbinu aliyokuwa amecheza juu ya wengine."
"Kiume, sensing Njeru's loneliness, offered his friendship. At first, Njeru hesitated, remembering the tricks he had played on others. But as time went by, he found himself growing fonder of Kiume.","Kiume, ambaye alitambua upweke wa Njeru, alitoa rafiki yake, kwanza, Njeru alisitasita, huku akikumbuka mbinu aliyokuwa amecheza juu ya wengine.","Kiume, ambaye alitambua upweke wa Njeru, alijitolea kuwa rafiki yake, kwanza, Njeru alisitasita, huku akikumbuka mbinu aliyokuwa amecheza juu ya wengine.  Muda ukisonga, Njeru alijikuta ameanza kumpenda Kiume"
Njeru eventually decided to join forces with Kiume,Mwishowe Njeru aliamua kujiunga na jeshi la Kiume,Mwishowe Njeru aliamua kujiunga na Kiume
"Njeru eventually decided to join forces with Kiume. The two formed an unbreakable bond, with Njeru vowing to change his ways and start treating others with respect.","Mwishowe Njeru aliamua kujiunga na majeshi pamoja na Kiume na wakaanzisha uhusiano wa karibu sana, huku Njeru akiahidi kubadili njia zake na kuanza kuwatendea wengine kwa heshima.","Mwishowe Njeru aliamua kujiunga pamoja na Kiume na wakaanzisha uhusiano wa karibu sana, huku Njeru akiahidi kubadili njia zake na kuanza kuwatendea wengine kwa heshima."
I love going to school because I get to play with my friends,Mimi hupenda kwenda shuleni kwa sababu ninaanza kucheza na marafiki wangu,Ninapenda kuenda shule kwa sababu ninapata kucheza na marafiki wangu.
I love going to school because I get to play with my friends,Mimi hupenda kwenda shuleni kwa sababu ninaanza kucheza na marafiki wangu,Ninapenda kuenda shule kwa sababu ninapata kucheza na marafiki wangu.
"Early that morning, I was sick in my stomach. The stomach pain was killing me and I had no pain killers. I had to go to the hospital.","Mapema asubuhi hiyo, nilikuwa mgonjwa tumboni na maumivu ya tumbo yalikuwa yakiniua na sikuwa na wauaji wa maumivu, hivyo ilinibidi kwenda hospitalini.","Mapema asubuhi hiyo, nilikuwa mgonjwa tumboni na maumivu ya tumbo yalikuwa yakiniua na sikuwa na dawa ya kutuliza  maumivu, hivyo ilinibidi kwenda hospitalini."
I love going to school because I get to play with my friends,Mimi hupenda kwenda shuleni kwa sababu ninaanza kucheza na marafiki wangu,Mimi hupenda kwenda shuleni kwa sababu nanapata kucheza na marafiki wangu
Nilipeleka ng'ombe kichinjioni,I took a cow to a knnin,I took the cow to the slaughter house
"Mungu aliumba ulimwengu kwa siku sita na siku ya saba, akapumzika","God created the universe in six days and on the seventh day, resting","God created the universe in six days and on the seventh day, he  rested"
